YEAR,MO,DY,HR,irr
2017,2,16,12,45.16
2017,2,16,13,37.75
2017,2,16,14,27.63
2017,2,16,15,16.31
2017,2,16,16,5.48
2017,2,16,17,0.23
2017,2,16,18,0
2017,2,16,19,0
2017,2,16,20,0
2017,2,16,21,0
2017,2,16,22,0
2017,2,16,23,0
2017,2,17,0,0
2017,2,17,1,0
2017,2,17,2,0
2017,2,17,3,0
2017,2,17,4,0
2017,2,17,5,0
2017,2,17,6,1.31
2017,2,17,7,9.65
2017,2,17,8,21.32
2017,2,17,9,33.66
2017,2,17,10,41.34
2017,2,17,11,46.32
2017,2,17,12,45.22
2017,2,17,13,39.7
2017,2,17,14,30.08
2017,2,17,15,17.8
2017,2,17,16,6.13
2017,2,17,17,0.27
2017,2,17,18,0
2017,2,17,19,0
2017,2,17,20,0
2017,2,17,21,0
2017,2,17,22,0
2017,2,17,23,0
2017,2,18,0,0
2017,2,18,1,0
2017,2,18,2,0
2017,2,18,3,0
2017,2,18,4,0
2017,2,18,5,0
2017,2,18,6,1.47
2017,2,18,7,10.45
2017,2,18,8,23.32
2017,2,18,9,35.05
2017,2,18,10,43.37
2017,2,18,11,46.47
2017,2,18,12,44.58
